student_id,course_code,session,mid1,mid2,assignment,final,total_marks,grade
202223_001,CS301,2022-23,25.0,25.9,9.3,65.7,73.5,AB
202223_002,CS301,2022-23,16.8,18.1,8.8,55.8,61.3,C
202223_003,CS301,2022-23,27.3,24.0,8.7,69.7,80.8,A
202223_004,CS301,2022-23,30.0,24.4,8.6,80.8,87.1,A
202223_005,CS301,2022-23,18.1,15.0,8.5,52.1,59.1,C
202223_006,CS301,2022-23,24.5,16.3,8.9,53.8,61.0,C
202223_007,CS301,2022-23,23.3,26.6,10.0,66.7,73.0,AB
202223_008,CS301,2022-23,18.7,21.1,9.6,60.6,70.1,BC
202223_009,CS301,2022-23,12.3,24.4,9.2,43.3,54.5,CD
202223_010,CS301,2022-23,30.0,23.9,8.2,96.2,91.6,A
202223_011,CS301,2022-23,21.7,18.4,10.0,45.1,62.6,C
202223_012,CS301,2022-23,19.9,18.3,6.9,52.9,60.2,C
202223_013,CS301,2022-23,23.4,28.2,10.0,57.6,74.3,AB
202223_014,CS301,2022-23,10.0,15.5,6.1,55.2,56.1,C
202223_015,CS301,2022-23,22.5,18.1,9.1,41.0,55.1,C
202223_016,CS301,2022-23,19.7,13.0,7.1,70.0,66.2,BC
202223_017,CS301,2022-23,15.3,16.4,7.3,41.1,49.1,CD
202223_018,CS301,2022-23,23.2,24.2,7.7,63.4,71.6,AB
202223_019,CS301,2022-23,17.6,16.5,7.6,41.4,54.8,CD
202223_020,CS301,2022-23,15.9,19.9,7.3,69.5,67.1,BC
202223_021,CS301,2022-23,26.0,26.0,10.0,68.1,80.1,A
202223_022,CS301,2022-23,17.5,22.0,8.3,52.8,63.8,BC
202223_023,CS301,2022-23,28.4,30.0,7.8,68.6,80.2,A
202223_024,CS301,2022-23,17.1,11.1,10.0,45.3,49.4,CD
202223_025,CS301,2022-23,23.1,15.4,10.0,50.9,58.5,C
202223_026,CS301,2022-23,20.2,28.0,9.9,62.9,68.5,BC
202223_027,CS301,2022-23,12.1,22.9,6.1,50.5,59.8,C
202223_028,CS301,2022-23,18.8,17.1,9.1,56.2,58.3,C
202223_029,CS301,2022-23,16.7,15.0,9.2,61.0,60.2,C
202223_030,CS301,2022-23,24.1,18.8,4.8,81.5,73.4,AB
202223_031,CS301,2022-23,10.0,11.1,6.1,45.7,43.7,D
202223_032,CS301,2022-23,30.0,22.2,5.7,61.0,73.1,AB
202223_033,CS301,2022-23,19.2,15.6,8.4,58.2,62.8,C
202223_034,CS301,2022-23,13.3,12.1,8.5,73.7,60.9,C
202223_035,CS301,2022-23,22.6,25.7,9.3,66.1,74.1,AB
202223_036,CS301,2022-23,10.3,17.9,9.2,68.2,62.8,C
202223_037,CS301,2022-23,20.1,23.7,7.7,69.3,71.0,BC
202223_038,CS301,2022-23,13.5,9.6,2.7,38.5,41.5,D
202223_039,CS301,2022-23,9.1,18.6,5.6,51.4,51.1,CD
202223_040,CS301,2022-23,17.1,20.9,9.7,80.3,77.0,AB
202223_041,CS301,2022-23,19.7,20.7,10.0,57.9,67.6,BC
202223_042,CS301,2022-23,26.5,23.0,7.5,57.9,72.4,AB
202223_043,CS301,2022-23,19.3,15.5,7.8,54.3,58.6,C
202223_044,CS301,2022-23,14.5,21.8,7.6,49.9,53.5,CD
202223_045,CS301,2022-23,11.6,13.8,5.2,35.9,41.1,D
202223_046,CS301,2022-23,15.7,19.0,9.1,39.7,50.5,CD
202223_047,CS301,2022-23,7.1,18.8,8.8,53.8,51.6,CD
202223_048,CS301,2022-23,22.2,30.0,5.9,57.1,70.7,BC
202223_049,CS301,2022-23,23.2,21.0,10.0,71.1,78.2,AB
202223_050,CS301,2022-23,17.0,12.6,7.5,31.0,42.7,D
202223_051,CS301,2022-23,25.8,16.2,7.3,59.9,66.0,BC
202223_052,CS301,2022-23,24.3,17.7,9.0,67.9,75.2,AB
202223_053,CS301,2022-23,20.1,18.4,7.3,42.1,54.6,CD
202223_054,CS301,2022-23,19.5,28.4,9.4,71.8,83.8,A
202223_055,CS301,2022-23,30.0,26.6,7.8,73.4,83.7,A
202223_056,CS301,2022-23,22.4,19.6,7.3,52.4,57.1,C
202223_057,CS301,2022-23,19.1,15.6,7.0,74.1,69.1,BC
202223_058,CS301,2022-23,17.4,19.7,8.6,57.9,63.2,C
202223_059,CS301,2022-23,22.5,19.3,8.7,56.4,67.9,BC
202223_060,CS301,2022-23,24.0,26.8,7.5,69.3,77.7,AB
202223_061,CS301,2022-23,14.3,17.6,10.0,57.0,59.5,C
202223_062,CS301,2022-23,17.0,12.7,3.6,58.0,49.3,CD
202223_063,CS301,2022-23,10.1,17.6,8.1,42.6,47.3,CD
202223_064,CS301,2022-23,11.8,21.9,4.4,36.1,42.7,D
202223_065,CS301,2022-23,19.5,19.4,8.2,66.2,65.8,BC
202223_066,CS301,2022-23,22.8,20.5,7.5,50.7,63.2,C
202223_067,CS301,2022-23,21.4,23.4,6.5,63.8,72.5,AB
202223_068,CS301,2022-23,26.5,22.1,10.0,52.3,69.6,BC
202223_069,CS301,2022-23,10.2,23.0,7.2,52.8,52.8,CD
202223_070,CS301,2022-23,21.9,26.4,7.4,66.7,74.1,AB
202223_071,CS301,2022-23,28.3,22.5,8.1,78.6,84.2,A
202223_072,CS301,2022-23,14.8,19.1,8.4,71.7,65.3,BC
202223_073,CS301,2022-23,20.4,15.8,6.9,52.4,56.9,C
202223_074,CS301,2022-23,23.9,21.8,8.7,68.4,73.4,AB
202223_075,CS301,2022-23,3.6,9.7,8.2,46.2,38.2,F
202223_076,CS301,2022-23,20.5,30.0,7.9,68.8,77.6,AB
202223_077,CS301,2022-23,16.2,18.2,6.2,83.7,70.7,BC
202223_078,CS301,2022-23,24.4,18.8,7.3,58.1,66.2,BC
202223_079,CS301,2022-23,23.8,20.1,10.0,61.9,68.0,BC
202223_080,CS301,2022-23,17.0,17.8,8.2,38.5,49.5,CD
202223_081,CS301,2022-23,22.0,29.9,7.2,59.0,73.1,AB
202223_082,CS301,2022-23,17.9,19.8,7.1,63.0,62.8,C
202223_083,CS301,2022-23,25.8,25.0,7.7,84.2,88.0,A
202223_084,CS301,2022-23,17.7,20.5,10.0,59.5,64.2,BC
202223_085,CS301,2022-23,16.1,23.5,7.2,53.2,60.7,C
202223_086,CS301,2022-23,17.3,22.8,7.0,33.9,53.0,CD
202223_087,CS301,2022-23,21.8,24.9,9.9,47.4,61.3,C
202223_088,CS301,2022-23,20.6,20.3,7.8,69.1,65.2,BC
202223_089,CS301,2022-23,21.1,21.0,8.4,44.9,55.2,C
202223_090,CS301,2022-23,22.2,25.1,8.9,39.1,63.2,C
202223_091,CS301,2022-23,18.4,23.2,8.0,62.8,65.8,BC
202223_092,CS301,2022-23,26.7,24.2,10.0,89.7,95.2,A
202223_093,CS301,2022-23,12.2,21.1,8.5,51.0,54.7,CD
202223_094,CS301,2022-23,22.5,25.0,7.1,68.2,73.3,AB
202223_095,CS301,2022-23,21.3,24.9,9.9,58.1,73.7,AB
202223_096,CS301,2022-23,12.3,16.7,6.8,43.5,53.0,CD
202223_097,CS301,2022-23,23.7,21.5,7.6,74.2,79.9,A
202223_098,CS301,2022-23,16.5,21.7,5.1,59.4,63.3,BC
202223_099,CS301,2022-23,24.8,26.2,8.7,65.0,77.7,AB
