id,user_id,semester,grade,marks,session,subject_name,course_code,credits
0025a5ab-0a54-4354-9f61-47417f864b5e,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,BC,55.0,2024-25 I,BE Lab,EC111L,1.5
080d1e3f-c984-47b6-ba83-949187a03aba,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM4,B,68.0,2025-2026 II,ADC Lab,CC224L,1.5
1947e7cc-794f-4b92-a878-583e24f6276a,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,C,44.0,2024-25 I,BE,EC111,4.0
22a97eb2-3433-4944-a2d4-6e40e6baf589,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,B,58.0,2024-2025 II,DSY,CS123,4.0
2a21eba5-545e-4edf-94f9-b2f8c4647b94,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,B,70.0,2024-2025 II,HVE,HS121,3.0
2c744473-f97f-4518-9952-5295c91e59d7,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,CD,36.0,2025-2026 I,OOP,CS214,4.0
46b965c5-d3d9-449d-b7a8-8bd3268e9198,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,A,74.0,2024-2025 II,DISMAT,CS124,3.0
6260715d-e48c-4dd1-9db9-ede31c99b20f,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,B,70.0,2024-2025 II,DSA,CS121,4.5
6300c2f4-5037-4d71-8ed5-924a63b5e581,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,AB,90.0,2024-2025 II,ISL,CS122,1.0
78ea7567-76b2-48e0-93ca-d5ce671c4c4e,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,B,56.0,2025-2026 I,DBMS,CS213,4.0
7e1a4c62-5460-4e7b-b6b8-9ff0779148d4,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,BC,51.0,2024-25 I,PPS,CS111,4.5
7f880261-3772-4c67-ad3e-aabb84b9a4a8,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,B,72.0,2024-25 I,TCE,HS111,3.0
86bb26e9-a482-4616-97f7-9312ee9bd63e,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,AB,51.0,2025-2026 I,PnS,MT211,4.0
948072e1-92ae-41ed-b876-c96c79ed31be,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,B,45.0,2024-25 I,CODE,MT111,4.0
979bd62a-0665-47ff-a90e-7baefaf5a755,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM1,BC,33.0,2024-25 I,CLP,PH111,4.0
af981793-ebbc-4708-8b36-e77e64978fb5,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,C,63.0,2024-2025 II,UG PHY,PH121L,1.5
b5df42c6-ef67-4a34-90e4-82ef149b5f24,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM2,B,42.0,2024-2025 II,LACA,MT121,4.0
c2a553bb-7475-43ff-9259-d9a4de07c34d,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,B,55.0,2025-2026 I,SnS,CC212,4.0
d32b886e-f27f-4256-958c-cef39dbb1c35,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,B,50.0,2025-2026 I,COA,CC211,3.0
e254aba6-9615-4333-b631-bd859bf5320a,ea9a5b94-0530-4636-bdd4-de5833a20649,SEM3,B,63.0,2025-2026 I,DAA,CS215,4.0
f7ebb6f6-1f25-4c45-90bd-90c442ae46cc,e7866159-6928-4cbe-b8b7-c7ef4cfed3a1,SEM3,BC,49.5,2022-2023 I,DAA,CS215,4.0
c6f9ddfa-60d5-41eb-9775-4fe2f7f325ff,7aa96018-9410-4c24-8ab5-837c5bbd526b,SEM3,C,46.9,2022-2023 I,DAA,CS215,4.0
49993eaf-213f-4e82-81e8-3b3f86421863,b2278d68-0134-4c30-aef2-58884c9d0f48,SEM3,F,18.8,2022-2023 I,DAA,CS215,4.0
